--cc-algorithm (Client),--cc-algorithm (Server),--initial-cwnd-packets (Client),--initial-cwnd-packets (Server),--max-data (Client),--max-data (Server),--max-stream-data (Client),--max-stream-data (Server),--max-stream-window (Client),--max-stream-window (Server),--max-streams-bidi (Client),--max-streams-bidi (Server),--max-streams-uni (Client),--max-streams-uni (Server),--max-window (Client),--max-window (Server),Goodput (kbps),Test Number
bbr2,bbr,9,9,12778568,12726843,1511560,1332648,14208705,18324345,115,103,81,110,20139266,22267233,29397.15665852708,2208
bbr2,bbr,9,10,12619481,12526286,1480308,1257111,14076133,17621729,114,101,80,108,21076328,22567617,28654.54982688277,2209
bbr2,bbr,9,8,13037598,13104533,820007,1282873,14394654,18634734,116,105,82,109,20795139,22084157,31649.702277421147,2210
bbr2,bbr,9,10,13235308,12869330,1548218,1397949,13516624,18946765,112,102,80,108,21126393,22379547,35623.39609725315,2211
bbr2,bbr,9,10,12951696,13183968,1444839,1307597,13852644,18400132,108,103,81,111,20463195,22928562,27674.77176071437,2212
bbr2,bbr,9,9,12746191,12663472,1458182,1249451,14233782,18681305,116,103,80,114,20898869,21832039,28727.33237696651,2213
bbr2,bbr,9,10,12872267,12968836,1515622,1345351,13720814,17895390,87,104,82,109,21100935,22093993,28481.868231675126,2214
bbr2,bbr2,9,10,13090219,12787520,1478225,1280567,14072007,18499993,97,102,81,112,20134203,22517608,28299.28814973921,2215
bbr2,bbr,9,10,12548215,12542289,1459428,1319862,13384332,18068066,106,101,80,110,20827942,22292935,27943.22087901509,2216
bbr2,bbr,9,8,11779491,12680972,1447556,1360470,14450452,18874551,115,104,82,111,21140101,21864929,28790.68001897274,2217
bbr2,bbr,9,10,12001629,12477546,1505674,1298780,13984290,19009818,98,101,81,109,20677030,22620104,28676.893835153995,2218
bbr2,bbr,9,10,12851882,13188151,1434821,1250553,14409359,18579511,116,102,80,108,20960460,22950274,31312.93909313282,2219
bbr2,bbr,9,9,13228381,12985870,1435886,1264150,14215321,18985584,115,104,82,110,20394223,22237667,28259.838262220026,2220
bbr2,bbr,9,10,11513983,12803785,1480296,1323486,13701047,18205689,113,103,81,108,21134086,22076085,34858.99503000283,2221
bbr2,bbr,9,10,13056621,12612293,1553061,1294786,13918859,18760660,114,106,80,109,20577174,22316887,28023.884721542017,2222
bbr2,bbr,9,8,13231721,15981274,1436465,1384350,14416201,18402517,112,105,105,112,20797935,22541011,27945.948431002696,2223
reno,bbr,9,10,11899263,13070716,1464049,1333883,13483410,18651361,116,101,82,113,20942524,22733047,29716.961848637984,2224
bbr2,reno,9,10,12639167,12896199,1522384,1359216,12504155,18406690,99,107,80,111,21139817,21965336,32024.567186207376,2225
bbr2,bbr,9,9,12878764,12491555,1435716,1237366,14268671,18864731,113,102,81,109,21141461,22107190,27749.832944087542,2226
bbr2,bbr,9,10,12025569,12775463,1492679,1418008,14090176,19088105,114,102,80,110,20737175,22373275,28455.241365250553,2227
bbr2,bbr,9,10,13080016,12653720,1462597,1279172,14486412,18110019,115,103,81,108,20513509,21850115,29019.68788453575,2228
bbr2,bbr,9,10,11678294,13188125,1425961,1374520,13791441,18716747,80,104,82,113,21140835,22626994,26673.221079474904,2229
bbr2,bbr,9,10,12954817,12934918,1463034,1319440,13995413,18300156,116,101,80,110,20957095,22719481,31263.236904343965,2230
bbr2,bbr,9,9,13224003,12510156,1484200,1296902,14262861,16911154,115,101,90,108,21196823,22177390,28573.402229708325,2231
