--cc-algorithm (Client),--cc-algorithm (Server),--initial-cwnd-packets (Client),--initial-cwnd-packets (Server),--max-data (Client),--max-data (Server),--max-stream-data (Client),--max-stream-data (Server),--max-stream-window (Client),--max-stream-window (Server),--max-streams-bidi (Client),--max-streams-bidi (Server),--max-streams-uni (Client),--max-streams-uni (Server),--max-window (Client),--max-window (Server),Goodput (kbps),Test Number
bbr,bbr,8,10,12209118,15323045,1188746,919649,13412922,18454773,99,90,80,116,22917698,20445735,31385.258677649465,405
bbr2,bbr,10,10,11933541,15697731,1221247,1052800,13027598,18319964,100,86,82,116,21479797,20772095,32065.612772717614,406
bbr2,bbr,8,10,12386467,15390465,1490636,1236132,13298404,18147408,98,89,81,117,21282768,20195115,35955.05001538737,407
cubic,bbr,8,10,12173160,10738934,1108528,874201,12662205,18525603,101,92,108,97,20815284,20647192,35909.645073355154,408
bbr2,bbr,9,10,12020792,15282401,1446617,1126619,12877336,18821093,104,110,81,115,21042888,20362540,36917.432936870835,409
bbr2,bbr,8,10,12316817,15576255,1417572,1192079,17680713,17888571,99,88,104,118,21376407,20603172,36096.39810907827,410
bbr,bbr,8,10,12556095,12496385,1369282,1460776,14111837,19375911,98,87,80,113,21554762,27199399,35103.47828998025,411
bbr2,bbr,8,8,13009571,15075761,957352,1089191,13164047,13374556,96,90,85,118,21180543,20938198,36205.32820245891,412
bbr2,bbr,8,12,12442337,12804259,1531530,1211349,13498913,18192887,102,89,117,89,20609012,27543910,35487.10216862597,413
bbr2,reno,8,10,11850602,15456329,1265630,959651,13635897,18943067,118,118,82,84,22729093,25168270,32138.265747490004,414
cubic,bbr,10,8,12233098,14684007,1403795,1141789,13838070,18469597,103,120,119,85,21690266,24540283,35688.428733824796,415
bbr2,bbr,8,10,12697848,13086483,1093627,829880,14721191,18654158,97,91,84,82,25220936,26868547,37589.937309834604,416
bbr,bbr,8,10,12890060,12671839,1376394,1623130,12646574,19471038,101,119,81,100,20912090,20149055,35884.22231034352,417
bbr2,bbr,8,8,12100535,12303711,1456568,1324055,15770918,18118513,116,89,118,117,22040907,26427130,36202.43757495774,418
bbr2,bbr,8,11,11096517,12921389,1353663,792064,14367586,19112187,105,117,81,114,22961711,28110268,36430.78847310558,419
bbr2,bbr,10,10,13089171,14903108,1428936,755549,12996868,19709477,102,88,83,108,25569854,27809696,36209.95416673501,420
bbr2,bbr,8,8,13319108,13181025,1052789,1564914,13303449,18375237,104,120,80,115,23527796,21257384,37270.941169675345,421
bbr,bbr2,8,10,12321110,15276720,1402480,1011031,12510699,18011383,100,90,84,110,21313230,20388301,35109.76657129512,422
reno,bbr,8,8,12591891,12566033,1229381,1157235,14605887,13641203,120,87,82,113,21533793,20967821,35556.59544418575,423
bbr2,bbr,8,10,12762335,13052105,1326849,799813,14951160,17724189,103,119,114,102,21088410,28818102,37409.02835441638,424
bbr2,bbr,10,9,11642273,13501469,1384480,1267988,14166954,18773956,111,116,86,112,25953439,21827249,36282.969347697835,425
cubic,bbr,11,10,12460906,13320184,1358926,744416,15445932,19230615,99,91,115,87,20780329,21477523,36172.27760598964,426
bbr2,bbr,8,9,12051238,15585366,1476362,1112747,14838545,11941047,118,93,120,85,23250396,28309767,36378.58918721777,427
bbr2,bbr,8,8,13198082,13721554,1176902,893890,15164651,19929171,102,105,117,119,21857700,27617546,36432.275753402464,428
bbr,bbr,8,9,12275843,12759773,1266546,770667,14536797,18914711,83,118,80,118,21402180,22098968,36639.09179375276,429
bbr2,bbr,8,10,12980260,13432403,1436872,1230827,13687628,17520035,119,89,85,106,20490939,25817602,35403.873716765906,430
bbr2,cubic,8,8,12142164,15782895,1407135,1404647,13110495,18273441,113,86,83,116,21228489,20596989,32951.563377078324,431
bbr2,bbr,12,9,12841568,15434692,847744,1185234,12131355,20186619,101,120,112,86,22205705,27986251,36319.57174760333,432
bbr2,reno,8,9,11866315,12394894,1331103,736181,14284629,15973216,98,87,94,95,24965178,20348827,24406.560315155817,433
bbr,bbr,9,10,12629714,13206322,1376043,1542125,16666211,19500225,102,100,119,119,21665999,21608342,35142.13982022169,434
cubic,cubic,8,8,15613451,12962804,1353531,845308,13924120,17936087,117,119,81,99,21041654,27391092,32035.18268239693,435
bbr2,bbr,10,10,11395554,16675734,768492,803249,14708427,18639595,81,88,116,88,22796722,20834042,36985.34008791538,436
bbr2,bbr,8,9,14089890,15014890,1304935,1080165,12822068,19278579,103,90,84,101,21508932,20272090,35660.05861292936,437
bbr2,bbr,8,8,12374466,13510009,1414134,700272,15083225,12043671,100,83,119,93,20136249,21205233,34456.828780292846,438
bbr,cubic,8,10,11981909,13110346,1388674,773026,15352099,19058280,115,94,118,114,22488063,20149799,31042.497903636093,439
bbr2,bbr,9,9,12489499,13325240,918668,1196207,15561993,18473558,111,117,102,115,23099876,20543696,36205.546971436466,440
bbr2,bbr,8,10,12214679,13845414,1446092,742448,13327209,18190434,104,88,82,117,20926496,21882745,36413.59863385108,441
bbr2,bbr,11,9,13071669,12874044,878787,936671,14849371,19669026,101,92,83,118,21286272,21562793,36190.83283790978,442
cubic,cubic,8,8,12802438,13618025,1340155,1222849,14411159,18815454,93,89,80,111,21849120,22802470,35383.90739435476,443
bbr2,bbr,10,10,13467329,14064840,1210574,1252352,15788731,17836553,110,118,118,91,20729885,21379985,36618.891236941716,444
bbr,bbr,8,9,12618181,12706869,1240968,822343,15021388,15075206,112,99,81,116,21633805,28530642,35069.064913619215,445
bbr2,bbr2,8,8,12333480,12532094,1022390,1169347,13057001,11763951,95,120,86,83,21148071,21745545,35738.52779696125,446
bbr2,cubic,8,9,12905100,15224611,1127859,767050,15192451,16862011,104,90,84,105,22071616,26177436,35958.53323136961,447
reno,bbr,8,9,12170937,13395386,1761733,1584486,14699193,17640812,97,89,82,112,23423177,26964766,33661.07027061732,448
bbr2,bbr,10,11,13229962,15432277,1375632,718677,15317216,19349836,103,101,117,120,21417643,21087944,33202.81419764692,449
bbr2,bbr,8,10,11762841,13211453,1284544,1135793,14166799,12259944,114,87,80,117,24452387,28261604,34999.34495721361,450
bbr,cubic,8,10,12482866,13690015,1420292,1028844,14937463,18564495,116,85,85,109,21744351,20463713,36871.154588297555,451
bbr2,bbr,8,8,11244050,10351177,1320915,787900,14493943,18033742,105,91,113,118,20385781,22332219,35053.34089953692,452
cubic,bbr,8,9,12718626,13023896,1070778,1300394,12834637,18406439,118,109,84,113,20958445,27781564,34076.94054476093,453
bbr2,bbr,8,10,12046720,13483078,982823,752655,15580636,11947182,119,118,120,119,21226423,23152161,35869.75280399208,454
bbr2,cubic,8,8,13035366,13287713,1391346,726261,12443365,16254298,107,102,97,96,21505635,29417858,35305.09887699371,455
bbr2,bbr,10,9,12381801,12840959,1355892,1209940,13481660,12711781,99,119,81,114,22885308,29139236,36201.031490629546,456
bbr,bbr,8,9,16450446,13757002,1444095,809702,14758172,19077355,102,88,118,119,21378861,26711343,36515.29674581223,457
bbr2,bbr,8,10,10892988,13580118,1408866,1167234,15176884,19890269,101,100,82,86,22257654,28026377,34961.68164002914,458
bbr2,reno,8,8,12242733,12643953,1478785,754106,14023137,18260164,100,116,80,92,20643334,25600295,29492.34513246335,459
bbr2,cubic,8,9,13765482,13121630,1159646,1502879,14353787,19620973,111,119,85,88,21913815,20280998,34925.69875479007,460
bbr2,bbr,10,10,11908530,13382146,1371249,866234,15943080,17297115,102,89,119,120,22629529,20137413,35493.108159396,461
cubic,bbr,8,8,11049293,15584528,1262483,1693968,14596545,18920963,117,113,83,111,21102108,20801889,32029.971893713104,462
bbr,bbr,8,12,12588947,15080137,1337711,790271,14984219,12124448,103,84,116,84,21545609,21993495,36646.98293732151,463
bbr2,cubic,8,10,12889942,12438471,1301621,1116498,15434547,12492903,120,93,86,116,23159328,21341138,30842.772456914983,464
bbr2,bbr,8,9,13140735,15303484,1392994,733008,13192385,19278469,101,120,120,103,20836103,27241290,37083.571683077804,465
bbr2,bbr,8,9,14689724,12262946,1826988,1198307,20205512,18709604,98,99,87,112,21659674,21517868,36673.27390606762,466
bbr2,cubic,8,10,12137185,16049918,1432305,1245393,13658092,17777337,110,86,117,81,21283843,20537584,33237.400380213374,467
bbr,bbr,10,8,12418117,12984256,1702868,766332,12745981,12959770,118,95,82,115,21143663,21717858,35134.60377799455,468
bbr2,bbr,8,10,12666546,13175699,728647,1338496,14849816,18059344,115,88,81,118,21399678,21066370,35853.47131160853,469
bbr2,bbr2,9,9,13002728,13515437,1189182,716684,15293496,11751885,112,91,115,117,23695527,29554702,34819.999709439275,470
cubic,bbr,8,9,14416961,13913532,815113,976859,18679625,18358984,104,87,83,87,22027243,25349049,36399.15716978447,471
reno,cubic,8,11,13348592,13340385,1362280,1273799,15106712,21504887,102,90,80,110,21814561,27637365,36973.86364738271,472
bbr2,bbr,10,8,12786151,12776603,1454149,1153553,13328094,19444755,100,117,118,119,22465257,23922425,35467.91164614485,473
bbr2,bbr,8,10,12012461,13635524,1323027,836560,14550660,18579926,103,119,85,120,20560252,26021514,35134.78036699531,474
bbr,bbr,8,9,12258763,15450522,1410385,701838,13005205,12018156,117,120,87,115,20956381,26523258,36598.72891024581,475
bbr2,cubic,8,8,12492134,13217581,1284933,785599,14168682,19000999,97,92,117,113,22739849,20747189,36520.09765849479,476
bbr2,bbr,8,10,12341927,12574175,1232626,1050294,14729929,12307845,113,88,81,89,21618897,22083928,35151.00469358448,477
bbr2,bbr,8,9,12138720,13461971,1382598,1092233,13874821,17891185,102,90,84,117,21240408,21290251,34871.10929313387,478
bbr,bbr,8,10,10756013,14240184,1353355,1384562,15589721,19818865,100,118,111,120,22953113,20367433,36143.927545036604,479
bbr2,cubic,10,8,11644947,15624502,1423634,751651,20748507,19160647,109,89,119,118,23293123,28177220,33528.10573137972,480
cubic,bbr,8,9,12835407,12965857,1395671,1182887,15007526,18223477,99,116,80,90,20343448,21802875,35277.764927830496,481
bbr2,reno,8,10,13168839,13776350,1469362,738021,14366459,17620819,106,98,82,108,21443040,29979711,26303.676321414652,482
bbr2,bbr,8,9,12577422,15237420,1318794,776936,15369800,18775261,105,100,86,85,21053885,27930791,35638.31852688633,483
bbr2,cubic,8,8,11988571,13333217,1205392,818914,15730906,14070349,110,94,116,112,20785861,28936715,33904.256114590346,484
bbr,bbr,8,9,12259138,14824844,1497840,895896,14888366,20109111,119,111,118,119,22280310,28578143,35393.10373925426,485
bbr2,bbr,8,10,13014885,15892356,1256093,1135696,13168874,19574723,116,119,81,116,21778431,21595032,36278.30902052637,486
bbr2,bbr,10,8,12699613,13081178,944932,1224017,14541960,11954621,108,120,83,111,21610725,20610378,36440.82205717597,487
bbr2,cubic,8,9,11517725,12862404,1360939,726759,15194011,18076063,103,114,85,114,21240620,30192868,33009.913668096546,488
cubic,bbr,8,10,11184467,12161884,1342306,805992,16254864,17453071,101,117,120,86,21963366,24794932,35767.78548729649,489
bbr2,bbr,9,10,12412495,13589470,1097481,771462,12917773,18402851,104,89,88,119,23027429,21496426,34818.94464902989,490
bbr,bbr,8,9,10985033,12709109,1381000,744392,13480868,18926116,111,106,84,107,21403644,21005820,37056.32922436052,491
bbr2,cubic,8,8,10846969,13269782,1303626,1528580,14725469,12151109,119,118,119,87,20939336,20141447,34069.21788220004,492
bbr2,bbr,8,9,11832135,13411680,1422084,1291191,14240962,19113760,102,87,99,114,21110702,27422016,32294.50702088981,493
bbr2,bbr,8,8,12072856,12472266,1404017,700268,14972687,19429225,112,101,80,118,20593790,29679564,35397.15104812364,494
bbr2,bbr2,8,12,10645813,14572396,1451590,1244709,12597525,12491097,101,81,117,120,21526613,27116886,35190.98155921498,495
reno,bbr,10,9,12858365,15391578,1371882,1192567,15421238,18597145,118,88,81,117,28984037,20376601,35902.867270454226,496
bbr,cubic,8,10,12524394,13076325,1335040,1617212,15133164,17052100,103,99,119,88,21703519,21910740,33586.527285474,497
bbr2,bbr,8,10,12292754,15097048,1131193,1162356,14007084,17921666,105,91,84,99,22095332,28371096,37236.099175432,498
bbr2,bbr,8,11,13265891,13658144,1049762,755984,14462084,20492398,102,89,83,113,26671387,21318790,36585.41670028519,499
cubic,bbr,10,9,12950278,13496165,1278748,781333,14730900,18241213,99,103,115,115,22672775,26307682,35007.37822588722,500
bbr2,cubic,8,10,12136875,14010156,900258,1207713,13684276,19338160,109,119,82,116,23394496,27765870,35040.67523182271,501
bbr2,bbr,8,8,13108059,14440711,866875,1115838,15228223,12257565,117,86,118,84,20814906,20884462,35293.79491870141,502
bbr,bbr,8,9,12384517,13212341,1436553,725477,13067743,19729796,100,90,80,119,21293622,23523771,36651.67441620666,503
bbr2,cubic,8,8,12683956,15778310,1394410,855289,14972448,13196736,103,120,95,118,21047338,29255819,34990.01638838939,504
bbr2,bbr,8,10,11902877,13824135,1353861,1484227,15968984,11925260,98,115,82,112,21774921,21676813,36284.61722460099,505
bbr2,reno,10,9,12216663,12938356,1164687,798876,17282826,18722542,114,88,109,109,21459607,20485326,31033.19586194854,506
bbr2,bbr,8,9,12516894,12661936,1536795,760937,15513855,18461946,104,87,92,120,22508872,28087664,36322.13510872253,507
bbr,bbr,8,10,12792229,12377772,1309475,730138,12307379,18915269,101,95,86,114,21262589,22092120,32967.27170404232,508
bbr2,cubic,8,9,12971515,13422048,974595,830469,13420673,11752395,111,118,107,105,22806353,21127420,35620.0077536266,509
cubic,bbr,8,8,13382728,15501377,1245018,1444952,14584033,18062075,118,93,117,110,23965357,29873134,36730.841731233624,510
bbr2,bbr,8,10,12053809,15265795,1419063,1068789,12756617,12756509,120,117,81,119,23110108,21538127,37222.13766844259,511
bbr2,bbr,10,9,10536775,13294949,1373233,1264202,14792023,19191650,116,102,85,116,21591803,20765072,35583.276563145555,512
bbr2,cubic,9,8,12660028,12813696,1008148,1174848,13222233,17650660,102,92,88,117,27956881,20334670,33437.08121975116,513
bbr,bbr,8,9,12398456,13698982,1331179,1014112,14262476,12190585,110,119,83,120,20784655,29522985,31589.56128789305,514
bbr2,bbr,8,10,12204050,13552657,1903397,750990,15313368,19522400,101,98,80,83,22226219,22462420,35200.50623286628,515
bbr2,bbr,11,10,13144088,14948450,1395230,1313826,15036201,18157506,103,90,118,89,21154400,22257885,33580.43669017287,516
cubic,cubic,8,8,11751170,13143455,1210676,949700,13822746,18647453,107,89,87,113,21341293,20545388,31203.88108269768,517
bbr2,bbr2,8,9,12512569,12549472,1469237,1227860,15723411,17823620,99,99,114,85,20283994,20144807,35645.602667872336,518
bbr2,bbr,8,10,12836493,13391051,1349201,788863,14850688,11966512,110,97,120,111,21907198,21864098,36162.11073477307,519
bbr,bbr,10,8,10796537,12996980,1438425,1143853,12953747,14747399,112,82,85,82,20917437,21217960,32343.641318513193,520
bbr2,bbr,8,9,12303489,13214419,1279599,718630,14490521,20065048,102,120,84,119,21614162,29753589,35755.52800156515,521
reno,cubic,8,10,11973825,13546260,1380386,1096391,15184974,19072436,115,88,81,86,23519817,29998882,35535.58341826858,522
bbr2,bbr,8,9,10643155,15617206,791283,758326,14058797,18313016,104,118,119,94,22381377,27649203,37162.98785069252,523
bbr2,bbr,8,11,12981898,12763975,1412919,921749,15469126,12412028,113,85,80,87,20667190,21762881,37104.206254002966,524
bbr,cubic,8,10,11372544,15140482,1307684,1567637,14659701,18833232,100,96,105,118,21413742,28730518,36684.0671582885,525
bbr2,bbr,10,8,12141571,13705609,1360173,800652,14329528,19868191,119,100,117,112,21194021,24178120,36273.43029762121,526
cubic,bbr,8,9,12623386,15369342,1233585,739256,14933084,19306631,103,119,83,104,21861098,21393923,36715.3762287358,527
bbr2,bbr,8,9,11119768,13085850,1075691,1199510,13380124,17963000,117,91,108,115,22878734,27995556,35442.27169002344,528
bbr2,cubic,8,10,12763989,13287198,1402207,779784,15188912,18438618,98,87,116,118,21030967,26797371,35517.85925988652,529
bbr2,bbr,8,8,10941784,13865853,751639,716262,14752386,12096364,101,89,112,117,20488210,20935141,34746.990407162295,530
bbr2,bbr,9,9,12381213,13467047,1340584,821172,13059328,17417468,85,116,82,120,21494759,20320107,36521.242433319174,531
bbr,reno,8,10,12216506,12600393,1489534,1822356,12665352,15562771,102,120,86,114,27069121,28320618,31728.699191143234,532
bbr2,bbr,8,9,13244086,12826068,1433205,1223092,15555902,19024347,108,94,84,115,22091203,20673291,36954.220264317184,533
bbr2,cubic,10,8,12518112,13620048,1257682,1157451,13662863,12582958,118,88,118,119,23176091,25852869,34366.118479134995,534
bbr2,bbr,12,10,13577491,13366125,1380207,1281100,15033167,19627417,106,86,89,116,21700775,21652885,36804.52152105555,535
cubic,bbr,8,8,12925243,13183897,1460612,983238,14504353,18602252,100,90,81,88,21360300,25078455,36587.77835205551,536
bbr,bbr,8,9,12069613,13016531,1328443,771469,15302318,18197005,109,117,101,113,22632469,21431408,36412.87154671431,537
bbr2,cubic,8,9,13069157,14106863,1183050,701158,13260304,11904899,111,92,82,91,20977689,27839719,35555.359641318704,538
bbr2,bbr,8,10,11864282,12364340,1292730,1408897,14218046,19334063,120,101,90,117,21177494,27422344,34932.18533537548,539
bbr2,bbr,8,10,12286313,12879581,1408486,886864,15752197,17711033,104,118,80,120,21592351,20495006,36037.02247854711,540
bbr2,bbr2,8,11,12696494,14709201,1370863,743353,12886905,18763022,102,104,85,106,21759312,21060420,34465.7618895795,541
bbr,bbr,10,9,12438931,15448970,1150507,1124394,14863322,12286990,99,89,111,118,29806620,23005459,36641.41236553668,542
bbr2,cubic,8,8,12860901,13534082,1351624,1353837,14616803,17947650,105,119,116,107,21389029,29363663,30472.01685211427,543
bbr2,bbr,8,10,12617535,12714597,1114298,1175655,14986268,20778168,117,91,119,110,20792367,20135802,35640.16578188763,544
cubic,bbr,8,9,10728737,13363868,1672218,1240808,15362516,19199151,103,97,83,101,23328238,30053541,35538.790099512415,545
reno,cubic,8,8,12151126,11554875,849450,850852,14410425,18318200,101,88,82,90,22979695,22020016,34423.995906188684,546
bbr2,bbr,8,10,11965140,13695955,1584274,729341,15098036,18918740,119,87,120,111,21932045,26585336,32730.21960978636,547
bbr2,bbr,9,9,13166870,15725288,1387795,812891,13838718,12085969,96,120,117,87,21068119,21257285,36054.772806493864,548
bbr,bbr,8,10,12334988,13238720,926640,768146,14013500,18530532,118,99,86,119,21406240,20300762,35974.37033333061,549
bbr2,cubic,10,9,12759743,15324767,1414143,1192900,14765415,20291428,115,107,106,103,20646771,28498511,31422.891573034758,550
bbr2,bbr,8,12,10535973,12523991,1434012,742608,13155853,19519046,100,84,118,85,21222293,29088187,38072.89241329604,551
bbr2,bbr,8,12,10448871,12257864,1455895,702259,13198757,19441610,100,85,118,86,21243161,29554061,36030.24293739447,552
bbr2,bbr,8,12,10334667,12349678,1502115,1047124,13015308,19743373,98,82,119,86,21079492,29680172,36030.691732268584,553
bbr2,bbr,11,12,10557677,12501157,1440114,729905,13551303,19968610,99,84,118,85,20957883,29376063,36016.21213162053,554
bbr2,cubic,8,12,10230089,12588309,1472488,700165,13370988,19565675,100,100,117,119,21570554,29999766,36925.18438144455,555
bbr2,bbr,10,10,10442429,12019733,1427010,750183,12792458,19707022,101,83,118,98,21273440,29724325,36777.76798628255,556
bbr2,reno,8,12,16248729,12488616,1396491,1543612,21138639,19411538,97,100,103,115,21517842,29280867,26709.774502165317,557
bbr2,bbr,8,11,13028884,12619541,1430705,1259492,13263282,19211404,100,83,117,114,20898915,21549975,35892.63625312829,558
bbr2,bbr,8,9,12534418,12736915,1366926,737745,13028053,19493992,99,101,119,92,21768418,28760365,36886.41101622436,559
bbr2,cubic,8,12,13355656,15179550,1322787,763952,12579935,19698812,110,86,120,109,21239392,29869271,37075.08176434191,560
bbr2,bbr,8,11,12233170,12908134,1458962,1148941,12805030,19075936,111,99,118,118,20427956,29508856,35574.14708597692,561
bbr2,bbr,10,11,11733929,12468222,1401127,1094106,13486251,19988130,101,98,80,85,22131503,21858259,38813.758359760985,562
bbr2,bbr,8,11,11677958,12372382,1429733,1037201,13555557,20331171,100,98,80,84,22552183,20604434,37357.31723718396,563
bbr2,bbr,8,11,11672787,13075910,1409625,752058,13498641,19939901,99,84,81,85,22200037,28963286,38386.98488152973,564
bbr2,bbr,8,11,11984051,13045503,1400619,1117217,13623174,19805774,98,83,81,84,22375034,28916859,36842.37848891317,565
bbr2,bbr,8,11,11561837,13114331,1405764,1063910,13444219,20103581,89,85,80,84,22210578,29301414,36372.51637251637,566
bbr2,bbr,10,11,11622478,12196244,1376200,723437,13795063,19879182,98,84,80,85,22098101,29016130,37584.63210009297,567
bbr2,bbr,8,11,11471399,13008546,1447748,782285,13287774,20083308,100,83,81,85,22237519,28767308,35948.60938504393,568
bbr2,bbr,8,11,11681869,12917147,1397800,1073132,13620558,17832456,99,84,81,84,22327054,29541576,36668.22426842622,569
bbr2,bbr,8,11,11594461,12448589,1427736,751236,13399937,19875893,99,95,80,85,22104246,29019549,32195.066160517697,570
bbr2,bbr,10,11,11824081,12129757,1484024,1080273,13789191,20098342,101,84,81,86,21993538,29112933,36316.01823808213,571
bbr2,bbr,8,11,11698705,13127075,1379548,1094170,13072638,20587028,97,83,80,83,22310028,30189644,36504.31662283826,572
bbr2,bbr,9,11,11827117,13285138,961814,724788,13199401,20398189,108,85,81,85,21992091,21844772,36423.353892713465,573
bbr2,bbr,8,11,11843552,12758636,1220002,785237,13480014,13784289,98,85,82,84,22522184,29886520,36411.16458667555,574
bbr2,bbr,8,11,11900928,12274288,1269882,754596,13655595,18131172,99,84,80,85,22031202,22657440,37762.28321910485,575
bbr2,bbr,8,11,11472400,12380851,1260164,765972,13833309,17274094,99,84,80,85,22249459,22600383,37447.40422766086,576
bbr2,bbr,8,11,11855987,12046186,1271244,739864,13742917,20214248,99,84,80,86,22112660,28900104,35970.89947316829,577
bbr2,bbr,8,11,11729617,12277317,1242384,806489,13738169,21090144,98,83,81,84,22380106,22422802,36347.804384298615,578
bbr2,bbr,8,11,11786099,12210614,1224209,755019,13957014,17527991,96,96,80,86,21933183,23129177,36845.56642218937,579
bbr2,bbr,10,11,11370512,12630924,1294209,724358,13363753,18041491,99,84,80,83,21884664,29569986,31555.219512562115,580
bbr2,bbr,8,11,11927978,11899948,1275543,781730,13487131,19953610,98,82,81,85,22152563,22192129,37306.11388124458,581
bbr2,bbr,8,11,11946711,12280049,1315489,750178,13646331,19638454,97,81,81,87,22423438,28623544,36263.1437884198,582
bbr2,bbr,8,11,14964179,12511747,1234266,797892,15099375,17731873,100,85,80,86,22006216,22936721,36665.707984135406,583
bbr2,bbr,9,11,11601197,12440078,1205535,700029,13980333,18100932,99,83,82,85,20164470,23496323,36192.72220043396,584
bbr2,bbr,8,11,11743180,13136421,900903,769304,14835021,14282085,112,84,81,85,21792714,22650026,36501.441589307615,585
reno,bbr,8,12,12039291,13276574,1258556,725779,13600087,18305111,100,84,80,87,22168540,29139944,35574.448812002156,586
bbr2,bbr2,10,11,11292511,12853660,1290177,750049,13499146,17952493,116,97,81,85,21790357,29730187,36527.237773428235,587
bbr2,bbr,8,11,11936823,12247042,1192097,1109391,13996495,15135472,114,85,80,83,20655780,23209989,37012.445569660464,588
bbr2,bbr,8,11,11561714,10025461,1333911,829493,14941127,19401101,113,86,82,84,22495476,29180367,36584.49127125382,589
bbr2,bbr,8,12,12058180,12968696,1350218,1008135,15181188,16694271,109,82,81,86,21946370,20347221,36520.84493392723,590
bbr2,bbr,8,11,11710857,12090309,1269675,798287,13359973,18461034,97,94,88,112,20820470,23857496,36737.72662157848,591
bbr2,bbr,10,11,10596685,12513046,1308279,726136,14660943,11753898,100,86,89,86,22266093,22243950,36350.41898751401,592
bbr2,bbr,8,12,12064252,13437581,943055,777791,14097948,19588086,101,117,80,111,21740974,22832767,36456.67498196421,593
bbr2,bbr,8,11,11807952,12683812,1365406,752073,15248968,17624825,110,96,81,93,20467336,20754550,34478.05779464931,594
bbr2,bbr,8,9,10372059,14319340,1413507,723060,13663563,19922318,107,110,91,84,21085997,24425374,35490.17998495542,595
bbr2,bbr,8,9,12188267,13191029,1339868,1094894,14969144,18212818,98,98,80,108,21640335,29814688,35844.67748537986,596
bbr2,reno,10,9,11919414,13397816,1462206,757639,13161924,18028998,99,97,82,112,22667568,21721462,30916.37483498088,597
bbr2,bbr,8,11,12396782,13054108,1245509,783288,14661125,18666900,101,93,81,102,22055826,20509200,36642.692806837375,598
bbr2,bbr,8,9,12319779,12381803,1378306,720519,13846030,17827671,100,85,87,120,20807554,20144884,36825.606428298,599
bbr2,bbr,8,12,10149224,16311985,1298078,1130945,15381292,19290661,109,84,82,113,21852136,21970651,36387.69432040886,600
bbr2,bbr,8,9,12139965,12858918,1516286,701430,14270038,20274149,111,82,80,100,21347469,29414640,35802.010622883376,601
bbr2,bbr,8,9,11943484,13270447,1439649,815829,14870946,19772309,99,118,81,84,22376147,30125014,33960.91700785036,602
bbr2,bbr,8,11,11549398,13504026,1390260,742343,15118881,18388991,102,95,82,87,21012567,23708125,36227.18690457065,603
bbr2,bbr,8,9,10628626,12700370,1319992,769129,14475206,19575931,101,98,80,110,21500227,29851934,37732.846698255365,604
bbr2,bbr,11,9,10509832,12694456,1317620,758264,14595797,19553144,101,99,80,108,21645632,20294838,34223.45956637107,605
reno,bbr,10,9,10718758,12679086,1339246,739871,14948342,19973107,112,98,80,110,21567159,29979569,36569.65888665927,606
bbr2,bbr2,8,9,10659045,12755466,1353254,701086,14736699,19728510,102,100,82,109,21918611,25288815,34556.800374379396,607
bbr2,bbr,9,9,10459805,12577357,1319643,779793,12881581,19497368,103,100,81,109,21431319,21752404,34923.35777818947,608
bbr2,bbr,8,11,10620243,12520518,1361586,1045135,15244522,19321697,101,99,80,111,21723202,20486129,32569.655884671083,609
bbr2,bbr,8,11,10626588,12586279,1309564,762862,13226102,19556821,102,101,81,82,22134369,30186100,36700.69445386298,610
bbr2,bbr,8,9,10292890,12405815,1338586,801872,14406663,19243443,116,98,81,111,21269368,29837643,38381.18890704813,611
bbr2,bbr,8,9,10106237,12372296,1288703,806308,14498161,19056997,116,98,81,110,21248559,29774867,35329.05271261806,612
bbr2,bbr,8,9,10306663,12199453,1326127,734195,15064024,19321943,117,98,80,110,21388453,29612504,37050.84625984947,613
bbr2,bbr,10,12,10281412,12324865,1339082,864241,15435120,19268676,115,99,82,107,21187704,29869294,38150.16924840791,614
bbr2,bbr,10,12,10426954,12193713,1348440,916961,15636592,19247494,115,99,82,107,21131940,29932473,36444.621701572854,615
bbr2,bbr,10,12,10098371,11731493,1297080,953357,15328353,19511588,116,99,82,106,21266281,29978041,36360.07737876193,616
bbr2,bbr,10,12,10303831,12011456,1334200,860503,15414554,19249622,115,98,80,108,21439325,29723387,35719.292598066575,617
bbr2,bbr,10,9,10334693,12300613,1371174,878721,15454879,19648180,114,99,81,107,21204072,29825140,36156.20347726092,618
bbr2,reno,10,12,10251701,11909755,1323429,838684,16031651,19773314,115,100,80,109,21620362,30032503,28327.881253049803,619
bbr2,bbr,10,12,10248305,12128361,1384173,978898,15850012,19345760,116,97,81,106,21402074,29378865,32390.223711106937,620
bbr2,bbr,10,12,10215490,12322260,1344263,1020647,15589331,19557588,114,98,81,109,21054237,29606746,35798.297954421505,621
bbr2,bbr,10,12,10502287,12447342,1287187,1333209,15141960,19946633,116,100,80,108,21556685,30123392,36164.72987275577,622
bbr,bbr,10,12,10383123,12298033,1410932,1895784,14803716,19445088,115,98,83,111,25772575,29862617,36672.90515529989,623
bbr2,bbr,10,11,10052226,12384206,1318787,885224,18300812,19236519,116,99,82,111,21215857,29454094,34547.32203529436,624
bbr2,bbr,10,12,10193569,12078272,1366897,1370324,15232310,19139242,117,98,81,108,21835204,29779118,35159.77088287884,625
reno,bbr,10,12,10864036,12507835,1991738,907684,14986417,19601921,117,99,80,109,21673131,29831036,35478.06698304763,626
