-o cc_algo (Client),-o cc_algo (Server),-o cfcw (Client),-o cfcw (Server),-o init_max_data (Client),-o init_max_data (Server),-o init_max_streams_bidi (Client),-o init_max_streams_bidi (Server),-o init_max_streams_uni (Client),-o init_max_streams_uni (Server),-o max_cfcw (Client),-o max_cfcw (Server),-o max_sfcw (Client),-o max_sfcw (Server),-o sfcw (Client),-o sfcw (Server),Goodput (kbps),Test Number
2,1,82392,54855,14622115,12789773,105,87,118,87,20132659,20132659,103247,89923,68248,55455,46205.980673992184,99
2,1,84715,53588,15156561,12777904,105,87,118,87,20132659,20132659,102168,96485,73410,75189,46231.80250729277,100
2,2,82289,56011,14559681,12476311,105,87,119,116,20132659,20132659,102898,95923,69383,82160,44819.29590505922,101
2,1,83857,53379,15121147,13487506,104,89,118,86,20132659,20132659,98066,89065,77361,72227,46117.25071386397,102
2,1,76817,69275,14522696,14087480,107,91,115,87,20132659,20132659,93283,91699,72925,55262,45964.521993755676,103
2,1,71791,60977,15576364,12817015,111,86,119,84,20132659,20132659,108440,98859,80533,68958,46095.811673682016,104
2,1,89614,50555,15631474,13509052,106,93,117,83,20132659,20132659,57561,105401,61800,74034,46247.350259695224,105
2,1,80449,49178,15402662,13226203,102,93,116,80,20132659,20132659,61315,96619,57363,75395,46123.18418245599,106
2,1,89412,50497,15813820,13481721,103,89,117,81,20132659,20132659,55432,93084,61595,80405,45961.902820742944,107
2,1,87711,54408,15204361,12722148,106,87,120,89,20132659,20132659,88810,104490,69731,78409,46005.031229931155,108
2,1,91110,41347,15712450,12985115,104,90,92,83,20132659,20132659,43554,82799,66631,58584,45368.37499641698,109
2,1,100012,57834,15668793,12318384,107,92,96,83,20132659,20132659,57988,89695,74373,65037,45971.09642544185,110
2,3,95415,37712,15986334,11660623,105,88,114,103,20132659,20132659,50432,99579,62775,74176,44167.74735015356,111
2,1,84862,44395,14772249,13785352,109,93,118,85,20132659,20132659,103893,111758,85426,50732,45943.12403744411,112
2,1,92910,109519,14153017,14263274,113,91,117,87,20132659,20132659,110732,107461,56372,52982,46257.959316018554,113
2,1,93697,63910,14185745,13574297,113,91,117,87,20132659,20132659,62454,101605,41352,69876,45197.31443531428,114
2,1,89438,54624,15046626,14225485,111,92,119,90,20132659,20132659,36927,106401,53869,85580,46138.1006648509,115
2,1,98070,59233,14927221,13962735,103,88,120,82,20132659,20132659,104910,103410,59843,52913,46054.485073180585,116
2,1,111534,112953,14661370,13085665,108,95,116,86,20132659,20132659,118907,109903,56256,58765,46055.44590332242,117
2,1,87249,117144,10089168,13364846,113,90,115,88,20132659,20132659,111291,95440,71072,61203,45885.0724601215,118
1,1,101684,51041,13577616,14216474,112,89,94,88,20132659,20132659,67119,86709,64766,48819,45629.56677355222,119
2,1,92526,121560,13944559,14401705,101,81,107,84,20132659,20132659,98234,119838,49200,55274,45944.2312073891,120
2,1,109405,19211,13067078,12542020,106,93,118,109,20132659,20132659,106971,101311,76168,46730,45855.500047284375,121
2,1,83251,105843,14376651,13784247,110,94,118,85,20132659,20132659,115004,105836,98517,43518,46199.49155604118,122
2,1,83644,111644,15302007,13665871,114,94,117,86,20132659,20132659,123433,107329,45455,77760,46017.09442969105,123
2,1,90589,106650,14353104,13896762,110,91,119,87,20132659,20132659,101849,104784,89891,44169,46267.118641076355,124
2,1,90545,109446,14186532,14077304,105,91,119,87,20132659,20132659,101833,97617,89883,49408,46237.17931758252,125
2,1,97171,110384,14200197,13567090,112,91,120,92,20132659,20132659,99668,97686,90281,40175,46216.443442952615,126
2,1,96028,110029,13810331,14072074,111,91,120,90,20132659,20132659,94362,97507,90674,40026,46013.91397645386,127
2,1,103906,102405,14158865,14284653,112,96,119,91,20132659,20132659,92050,99891,89231,51435,46244.290859255656,128
2,2,104154,98604,14171674,14477418,115,90,119,91,20132659,20132659,100804,99795,90319,48992,44008.60592331369,129
2,1,98545,117774,13875874,13924615,116,92,119,89,20132659,20132659,96594,93359,93490,43913,46103.5892571254,130
2,1,95138,104395,14065484,14257665,112,91,98,91,20132659,20132659,91517,103194,80768,41949,45974.39694490816,131
2,1,106600,109082,14313084,14083759,112,89,120,87,20132659,20132659,99281,98135,83546,52409,46236.822523659655,132
2,1,107086,114835,14275176,14129431,113,96,120,92,20132659,20132659,101644,97506,83775,51229,45904.63275945757,133
2,1,104939,110335,12620685,14752268,114,90,119,93,20132659,20132659,109060,100168,88329,48466,46243.04172046045,134
2,1,105919,109033,12736033,14376654,108,89,117,88,20132659,20132659,109960,101184,95727,46691,45304.52229282163,135
2,1,101673,103304,12440134,14912875,111,89,118,89,20132659,20132659,105204,105255,24368,54142,45467.1536090867,136
2,1,104308,99722,13598924,14769393,114,88,119,90,20132659,20132659,108153,95115,88099,49532,45975.9339897455,137
2,1,109051,95249,12560879,14979847,113,90,117,87,20132659,20132659,87830,108875,82233,45318,45518.22333350697,138
2,3,114090,112487,12836893,14567019,116,120,116,89,20132659,20132659,103052,102688,85323,52593,45031.914082672774,139
2,1,100205,107811,12188185,14003017,109,92,119,120,20132659,20132659,84184,101128,78738,56588,45479.62673409683,140
2,1,91258,101355,14006101,14305957,114,90,95,93,20132659,20132659,112611,99122,73848,73249,46195.42088313428,141
2,1,98795,109806,14411769,13885166,112,91,120,92,20132659,20132659,100071,96473,94737,37987,46159.90927164745,142
2,1,97092,106726,13269056,13640559,82,89,119,91,20132659,20132659,95573,104848,83211,46285,45967.443731225016,143
2,1,102776,115286,14328348,14126111,112,92,92,95,20132659,20132659,98987,92559,88859,40902,45431.669774477465,144
2,1,92813,110069,13774698,15161987,110,114,120,86,20132659,20132659,107048,99672,93018,47790,46132.79761279526,145
2,1,107743,119317,14142589,13496223,117,86,118,80,20132659,20132659,102215,97875,90337,35243,45572.20535994163,146
1,1,111171,123955,10262830,15382427,111,95,120,114,20132659,20132659,98710,107489,86012,42649,46183.0860375659,147
2,1,89674,114277,14263111,13283489,113,93,118,92,20132659,20132659,110045,94195,102254,50934,46141.70439106496,148
2,1,42514,111772,12025292,13753559,115,91,119,105,20132659,20132659,23864,103352,80673,57864,46078.66972590452,149
2,1,104807,71828,14867858,14043369,107,88,101,88,20132659,20132659,95462,90911,59771,63699,45463.38343806822,150
2,2,94798,129647,14498184,13574555,106,90,117,101,20132659,20132659,74749,110334,88577,39607,45183.29201167958,151
2,1,86992,105999,14477157,13876719,109,93,119,85,20132659,20132659,92397,130918,91927,50971,46219.90661919387,152
2,1,90453,104073,14127644,13408072,109,91,120,87,20132659,20132659,104777,98238,91978,45298,46054.83905856853,153
2,1,88194,106580,14710253,13943929,112,92,116,83,20132659,20132659,91827,100889,54642,53828,45854.69793466562,154
2,1,93680,112520,13989315,14622476,108,94,119,86,20132659,20132659,94136,95571,86070,48926,46085.47940148157,155
2,1,96904,116798,14416483,13699600,104,89,118,84,20132659,20132659,106649,103979,77375,52781,45169.570150182786,156
2,1,99182,108837,15505667,13883060,110,101,117,90,20132659,20132659,29973,87655,63559,50196,46233.2803684285,157
2,1,100908,105462,15554066,13853580,110,101,116,90,20132659,20132659,27805,85735,62139,50536,46138.35442996201,158
2,1,106538,101656,10110123,14492472,107,103,117,88,20132659,20132659,111441,80812,57997,47264,46189.46881555836,159
2,1,92087,90771,15686932,14134723,110,102,118,87,20132659,20132659,33283,84097,64737,58442,46214.12646040764,160
2,1,86891,33756,15838473,14285808,105,100,115,85,20132659,20132659,89781,76628,66597,60143,46192.03768221763,161
2,1,99282,108574,15421454,13566239,111,92,119,93,20132659,20132659,18590,88266,51911,44161,46084.669223078025,162
2,1,103395,47562,10419061,13866469,112,93,120,90,20132659,20132659,101337,92107,70180,51986,46081.96039589819,163
2,1,96837,110452,14589323,13697772,113,99,119,89,20132659,20132659,21662,98951,84022,54853,46203.84288086629,164
2,1,93762,61843,14244973,12126380,109,90,117,107,20132659,20132659,16412,101915,88820,36986,46226.86000305291,165
2,1,90113,62781,15132179,13970211,108,90,116,106,20132659,20132659,16876,106312,87013,36021,45521.87909032302,166
1,1,94940,57361,10001353,11903498,109,87,117,111,20132659,20132659,26428,101992,62716,75900,46120.49618274444,167
2,3,92657,67338,10279750,11537811,110,90,114,117,20132659,20132659,20818,130188,75305,49340,44726.218391870956,168
2,1,85886,59422,14332985,12187025,107,100,97,108,20132659,20132659,82258,95658,56627,56413,45357.90023499183,169
2,1,101139,64545,11781222,13185157,109,96,118,86,20132659,20132659,31683,108121,81736,70362,45883.64187317276,170
2,1,111501,52465,13663749,14186021,106,105,119,107,20132659,20132659,24779,104392,72914,42788,46166.23482975646,171
2,1,97835,86605,14203964,13470509,114,91,93,110,20132659,20132659,16556,100617,90484,38795,46202.54503154852,172
2,1,95050,113352,13894081,13766849,111,89,120,91,20132659,20132659,103410,93294,95444,34097,45483.12832708175,173
2,1,88710,107848,14239916,13342679,112,88,118,82,20132659,20132659,63184,97436,87963,45587,45765.46300074852,174
2,1,91035,60458,14068296,14042154,113,103,80,88,20132659,20132659,19376,102093,93376,41594,46147.92341144207,175
2,1,102866,103958,13042804,10861091,111,91,117,92,20132659,20132659,98170,98774,89576,37560,46024.16367789151,176
2,1,98995,111847,14457862,13629008,114,98,120,87,20132659,20132659,70224,89644,83827,100718,46117.58031095774,177
2,1,108235,107124,10213583,13463037,104,92,119,81,20132659,20132659,37690,105576,79288,47495,45324.49674165991,178
2,1,93255,109718,10493853,13838915,108,90,117,113,20132659,20132659,56579,49172,59314,53233,46268.98156600436,179
3,1,92930,99705,10848747,10003024,107,90,117,84,20132659,20132659,55320,48940,60215,53399,46078.011648301064,180
2,1,116766,56088,10642347,14387202,109,89,115,104,20132659,20132659,57695,30751,67499,50826,46189.112757578696,181
2,1,95850,109795,10341161,13865816,110,91,118,113,20132659,20132659,53107,61850,59067,30437,46187.663149618355,182
2,1,87818,105537,10555092,14008489,108,93,119,113,20132659,20132659,46239,39305,64187,48600,45113.43151300816,183
2,1,91317,115997,10520323,13742853,105,90,120,115,20132659,20132659,59474,66929,56121,53781,45445.13282582362,184
